date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202025%2017:54:58%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/css/fonts/tabler-icons.ttf?v2.11.0	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/css/fonts/tabler-icons2d35.ttf	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:54:59	90552/90552	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img1.jpg	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img1.jpg	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:54:59	38599/38599	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img2.jpg	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img2.jpg	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:55:00	89115/89115	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img4.jpg	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img4.jpg	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:55:00	32202/32202	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img5.jpg	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img5.jpg	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:55:00	99799/99799	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/media/media-84.jpg	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/media/media-84.jpg	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:55:00	97988/97988	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img3.jpg	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/bg-img3.jpg	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:55:00	59424/59424	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/media/backgrounds/1.jpg	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/media/backgrounds/1.jpg	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:55:00	3910/3910	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/transparent.png	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/menu-bg-images/transparent.png	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:55:01	28069/28069	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/media/media-67.png	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/media/media-67.png	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
18:55:01	20246/20246	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Oct%202024%2018:41:12%20GMT	https://spruko.com/demo/tailwind/xintra/dist/assets/images/media/media-69.jpg	C:/Mes%20Sites%20Web/dashboardmous/spruko.com/demo/tailwind/xintra/dist/assets/images/media/media-69.jpg	(from https://spruko.com/demo/tailwind/xintra/dist/assets/css/styles.css)
